Age,Gender,Speed_of_Impact,Helmet_Used,Seatbelt_Used,Survived
26,Female,49,Yes,Yes,0
25,Female,38,Yes,Yes,0
29,Female,36,Yes,No,0
51,Male,82,Yes,Yes,1
50,Male,38,No,Yes,1
65,Female,111,No,Yes,1
40,Male,77,Yes,Yes,1
41,Male,74,No,Yes,1
54,Male,109,Yes,No,0
52,Male,109,No,Yes,1
61,Male,81,Yes,Yes,1
57,Male,42,Yes,Yes,1
39,Female,28,Yes,Yes,0
44,Female,31,Yes,Yes,1
52,Male,20,Yes,No,1
18,Female,77,Yes,Yes,0
52,Female,20,No,No,1
54,Female,53,Yes,No,0
64,Female,115,No,Yes,0
31,Male,67,Yes,Yes,0
20,Female,108,No,Yes,0
18,Female,20,No,Yes,0
22,Male,35,No,No,1
43,Male,80,Yes,Yes,0
31,Female,83,Yes,Yes,0
56,Female,82,No,Yes,1
44,Female,88,Yes,Yes,0
26,Female,41,No,Yes,1
32,Female,112,Yes,Yes,1
32,Female,86,No,No,1
43,Male,95,No,No,0
59,Female,45,Yes,Yes,0
30,Female,35,No,Yes,0
68,Male,70,Yes,Yes,1
49,Male,105,No,No,0
56,Male,76,No,Yes,0
66,Male,48,Yes,No,0
69,Female,97,Yes,Yes,1
49,Female,111,Yes,Yes,1
21,Female,88,No,Yes,0
47,Female,66,Yes,Yes,0
54,Female,113,No,No,0
40,Female,81,No,No,0
56,Male,88,Yes,Yes,1
62,Female,95,Yes,Yes,1
32,Male,35,No,No,1
60,Male,109,No,No,1
46,Female,109,Yes,No,0
53,Male,67,Yes,No,0
30,Female,104,Yes,Yes,0
49,Male,58,Yes,No,1
24,Female,119,Yes,Yes,0
68,Male,52,No,No,1
39,Female,113,No,No,1
45,Female,42,No,No,0
19,Female,29,No,No,0
59,Female,88,Yes,No,0
62,Female,119,Yes,Yes,1
23,Male,53,Yes,Yes,0
45,Male,71,No,No,1
45,Male,114,No,No,0
61,Female,29,Yes,Yes,1
61,Male,38,Yes,No,1
37,Female,77,No,No,0
47,Female,115,No,Yes,1
28,Male,20,Yes,No,1
45,Male,88,Yes,No,0
42,Female,23,No,Yes,1
56,Male,35,Yes,Yes,0
50,Female,43,Yes,Yes,1
18,Female,99,Yes,No,0
44,Female,21,No,Yes,0
69,Female,111,No,Yes,1
30,Female,51,No,Yes,1
58,Male,110,No,Yes,1
20,Male,103,No,Yes,1
56,Female,43,No,Yes,1
